label,cluster
SSFR,58
SSFR,43
SSFR,58
SSFR,52
SSFR,11
SSFR,47
SSFR,59
SSFR,44
SSFR,4
SSFR,4
SSFR,11
SSFR,2
SSFR,44
SSFR,26
SSFR,22
SSFR,43
SSFR,43
SSFR,62
SSFR,62
SSFR,40
SSFR,35
SSFR,11
SSFR,4
SSFR,4
SSFR,62
SSFR,59
SSFR,2
SSFR,11
SSFR,43
SSFR,59
SSFR,35
SSFR,48
SSFR,7
SSFR,58
SSFR,1
SSFR,59
SSFR,1
SSFR,44
SSFR,61
SSFR,10
SSFR,59
SSFR,11
SSFR,35
SSFR,47
SSFR,7
SSFR,0
SSFR,61
SSFR,21
SSFR,58
SSFR,11
SSFR,10
SSFR,53
SSFR,35
SSFR,58
SSFR,11
SSFR,1
SSFR,44
SSFR,35
SSFR,1
SSFR,47
SSFR,2
SSFR,53
SSFR,53
SSFR,58
SSFR,47
SSFR,64
SSFR,61
SSFR,44
SSFR,58
SSFR,43
SSFR,58
SSFR,44
SSFR,52
SSFR,4
SSFR,53
SSFR,25
SSFR,47
SSFR,35
SSFR,58
SSFR,58
SSFR,1
SSFR,62
SSFR,11
SSFR,43
SSFR,32
SSFR,44
SSFR,7
SSFR,58
SSFR,43
SSFR,35
SSFR,62
SSFR,40
SSFR,7
SSFR,29
SSFR,62
SSFR,28
SSFR,4
SSFR,1
SSFR,1
SSFR,43
SSFR,7
SSFR,10
SSFR,5
SSFR,1
SSFR,7
SSFR,52
SSFR,23
SSFR,34
SSFR,61
SSFR,2
SSFR,59
SSFR,44
SSFR,4
SSFR,59
SSFR,44
SSFR,43
SSFR,10
SSFR,2
SSFR,1
SSFR,2
SSFR,10
SSFR,0
SSFR,40
SSFR,64
SSFR,58
SSFR,47
SSFR,11
SSFR,4
SSFR,44
SSFR,5
SSFR,10
SSFR,52
SSFR,35
SSFR,2
SSFR,59
SSFR,59
SSFR,5
SSFR,21
SSFR,62
SSFR,11
SSFR,62
SSFR,2
SSFR,58
SSFR,43
SSFR,40
SSFR,43
SSFR,1
SSFR,62
SSFR,2
SSFR,18
SSFR,5
SSFR,61
SSFR,0
SSFR,18
SSFR,11
SSFR,35
SSFR,29
SSFR,58
SSFR,11
SSFR,4
SSFR,10
SSFR,64
SSFR,53
SSFR,52
SSFR,43
SSFR,2
SSFR,62
SSFR,58
SSFR,62
SSFR,53
SSFR,43
SSFR,11
SSFR,44
SSFR,35
SSFR,7
SSFR,1
SSFR,29
SSFR,7
SSFR,43
SSFR,44
SSFR,11
SSFR,18
SSFR,1
SSFR,29
SSFR,8
SSFR,62
SSFR,59
SSFR,44
SSFR,47
SSFR,59
SSFR,43
SSFR,7
SSFR,11
SSFR,62
SSFR,7
SSFR,12
SSFR,59
SSFR,58
SSFR,58
SSFR,34
SSFR,58
SSFR,10
SSFR,58
SSFR,48
SSFR,47
SSFR,53
SSFR,40
SSFR,61
SSFR,11
SSFR,62
SSFR,0
SSFR,35
SSFR,1
SSFR,43
SSFR,18
SSFR,62
SSFR,25
SSFR,62
SSFR,59
SSFR,59
SSFR,4
SSFR,52
SSFR,29
SSFR,4
SSFR,35
SSFR,62
SSFR,21
SSFR,61
SSFR,4
SSFR,59
SSFR,1
SSFR,40
SSFR,35
SSFR,14
SSFR,4
SSFR,4
SSFR,59
DIES,26
DIES,42
DIES,26
DIES,54
DIES,55
DIES,50
DIES,21
DIES,42
DIES,52
DIES,1
DIES,61
DIES,46
DIES,1
DIES,42
