label,cluster
MNAT,4
MNAT,4
MNAT,13
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,1
MNAT,4
MNAT,6
MNAT,4
MNAT,1
MNAT,11
MNAT,4
MNAT,4
MNAT,4
MNAT,6
MNAT,13
MNAT,4
MNAT,4
MNAT,1
MNAT,13
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,13
MNAT,4
MNAT,4
MNAT,13
MNAT,6
MNAT,4
MNAT,4
MNAT,4
MNAT,13
MNAT,4
MNAT,4
MNAT,6
MNAT,13
MNAT,4
MNAT,8
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,8
MNAT,4
MNAT,4
MNAT,13
MNAT,13
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,11
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,13
MNAT,4
MNAT,1
MNAT,11
MNAT,4
MNAT,1
MNAT,13
MNAT,4
MNAT,4
MNAT,13
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,10
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,8
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,12
MNAT,8
MNAT,1
MNAT,4
MNAT,13
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,6
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,8
MNAT,4
MNAT,1
MNAT,8
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,1
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,8
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,1
MNAT,1
MNAT,4
MNAT,4
MNAT,10
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,13
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,13
MNAT,13
MNAT,4
MNAT,13
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,11
MNAT,4
MNAT,4
MNAT,1
MNAT,1
MNAT,4
MNAT,4
MNAT,1
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,11
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,13
MNAT,4
MNAT,4
MNAT,1
MNAT,13
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,1
MNAT,6
MNAT,4
MNAT,4
MNAT,13
MNAT,10
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,13
MNAT,4
MNAT,1
MNAT,6
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,13
MNAT,1
MNAT,4
MNAT,4
MNAT,13
MNAT,4
MNAT,13
MNAT,4
MNAT,1
MNAT,6
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,1
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,13
MNAT,1
MNAT,4
MNAT,1
MNAT,1
MNAT,1
MNAT,4
MNAT,1
MNAT,1
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,13
MNAT,1
MNAT,11
MNAT,12
MNAT,1
MNAT,13
MNAT,4
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,1
MNAT,6
MNAT,4
MNAT,10
MNAT,4
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,13
MNAT,6
MNAT,13
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,1
MNAT,11
MNAT,13
MNAT,4
MNAT,4
MNAT,11
MNAT,4
MNAT,1
MNAT,1
MNAT,1
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,6
MNAT,8
MNAT,13
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,4
MNAT,6
MNAT,1
MNAT,13
MNAT,4
MNAT,4
MNAT,1
MNAT,4
