label,cluster
MNAT,14
MNAT,9
MNAT,14
MNAT,14
MNAT,0
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,2
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,9
MNAT,14
MNAT,0
MNAT,14
MNAT,9
MNAT,14
MNAT,9
MNAT,14
MNAT,8
MNAT,9
MNAT,8
MNAT,14
MNAT,9
MNAT,14
MNAT,14
MNAT,14
MNAT,8
MNAT,9
MNAT,14
MNAT,9
MNAT,2
MNAT,9
MNAT,14
MNAT,8
MNAT,8
MNAT,14
MNAT,14
MNAT,14
MNAT,0
MNAT,8
MNAT,9
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,8
MNAT,9
MNAT,14
MNAT,8
MNAT,14
MNAT,8
MNAT,9
MNAT,0
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,0
MNAT,8
MNAT,0
MNAT,8
MNAT,9
MNAT,8
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,9
MNAT,8
MNAT,14
MNAT,9
MNAT,14
MNAT,9
MNAT,0
MNAT,14
MNAT,14
MNAT,8
MNAT,8
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,0
MNAT,8
MNAT,10
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,14
MNAT,10
MNAT,14
MNAT,0
MNAT,14
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,14
MNAT,9
MNAT,8
MNAT,14
MNAT,8
MNAT,8
MNAT,2
MNAT,14
MNAT,14
MNAT,8
MNAT,8
MNAT,9
MNAT,14
MNAT,14
MNAT,8
MNAT,0
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,0
MNAT,8
MNAT,14
MNAT,8
MNAT,9
MNAT,8
MNAT,9
MNAT,14
MNAT,14
MNAT,0
MNAT,4
MNAT,14
MNAT,10
MNAT,9
MNAT,14
MNAT,14
MNAT,0
MNAT,8
MNAT,14
