label,cluster
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,5
MNAT,7
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,7
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,7
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,7
MNAT,5
MNAT,7
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,3
MNAT,9
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,11
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,3
MNAT,14
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,7
MNAT,5
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,7
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,7
MNAT,5
MNAT,3
MNAT,7
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,7
MNAT,5
MNAT,5
MNAT,13
MNAT,5
MNAT,5
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,14
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,7
MNAT,5
MNAT,9
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,7
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,7
MNAT,8
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,14
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,8
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,14
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,8
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,7
MNAT,3
MNAT,7
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,14
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,7
MNAT,5
MNAT,7
MNAT,3
MNAT,11
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,7
MNAT,7
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,7
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,7
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,7
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,7
MNAT,7
MNAT,5
MNAT,5
MNAT,7
MNAT,5
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,8
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,7
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,11
MNAT,3
MNAT,7
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,7
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,5
MNAT,5
MNAT,7
MNAT,5
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,7
MNAT,7
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,11
MNAT,7
MNAT,3
MNAT,7
MNAT,5
MNAT,3
MNAT,5
MNAT,9
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,7
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,5
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,7
MNAT,7
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,3
MNAT,3
MNAT,5
MNAT,3
MNAT,5
MNAT,3
MNAT,7
MNAT,7
MNAT,3
MNAT,5
AROC,5
AROC,11
AROC,5
AROC,11
AROC,11
AROC,7
AROC,5
AROC,5
AROC,5
AROC,11
AROC,3
AROC,5
AROC,11
AROC,3
AROC,11
AROC,11
AROC,11
AROC,11
AROC,3
AROC,11
AROC,5
AROC,11
AROC,3
AROC,11
AROC,11
AROC,11
AROC,11
AROC,11
AROC,11
AROC,11
AROC,3
AROC,13
AROC,11
AROC,3
AROC,3
AROC,11
AROC,5
AROC,3
AROC,11
AROC,11
AROC,11
AROC,11
AROC,11
AROC,3
AROC,11
AROC,7
AROC,3
AROC,11
AROC,11
AROC,3
AROC,11
AROC,7
AROC,7
AROC,11
AROC,11
AROC,3
AROC,11
AROC,7
AROC,11
AROC,5
AROC,11
AROC,5
AROC,5
AROC,5
AROC,11
AROC,11
AROC,3
AROC,11
AROC,11
AROC,11
AROC,11
AROC,5
AROC,5
AROC,11
AROC,3
AROC,5
AROC,11
AROC,13
AROC,11
AROC,7
AROC,3
AROC,11
AROC,5
AROC,3
AROC,11
AROC,11
AROC,11
AROC,5
AROC,11
AROC,3
AROC,11
AROC,7
AROC,3
AROC,5
AROC,11
AROC,11
AROC,11
AROC,3
AROC,5
AROC,11
AROC,11
AROC,11
AROC,5
AROC,3
AROC,11
AROC,3
AROC,5
AROC,11
AROC,11
AROC,3
AROC,11
AROC,11
AROC,11
AROC,11
AROC,11
AROC,11
AROC,7
AROC,7
AROC,7
AROC,3
AROC,3
AROC,11
AROC,5
AROC,11
AROC,11
AROC,11
AROC,5
AROC,5
AROC,5
AROC,11
AROC,3
AROC,3
AROC,3
AROC,11
AROC,5
AROC,11
AROC,5
AROC,5
AROC,11
AROC,3
AROC,11
AROC,11
AROC,11
AROC,7
AROC,11
AROC,5
AROC,5
AROC,5
AROC,11
AROC,11
AROC,5
AROC,7
AROC,11
AROC,7
AROC,3
AROC,5
AROC,11
AROC,11
AROC,11
AROC,5
AROC,11
AROC,5
AROC,11
AROC,3
AROC,11
AROC,11
AROC,11
AROC,5
AROC,11
AROC,5
AROC,7
AROC,8
AROC,11
AROC,7
AROC,11
AROC,3
AROC,11
AROC,11
AROC,11
AROC,7
AROC,7
AROC,5
AROC,7
AROC,11
AROC,13
AROC,11
AROC,11
AROC,3
AROC,5
AROC,5
AROC,11
AROC,3
AROC,5
AROC,5
AROC,11
AROC,11
AROC,11
AROC,11
AROC,11
AROC,11
AROC,11
AROC,3
AROC,3
AROC,11
AROC,5
AROC,7
AROC,5
AROC,11
AROC,11
AROC,3
AROC,11
AROC,5
AROC,3
AROC,11
AROC,3
AROC,11
AROC,5
AROC,5
AROC,11
AROC,11
AROC,3
AROC,11
AROC,5
AROC,7
AROC,5
AROC,11
AROC,3
AROC,11
AROC,5
AROC,3
AROC,11
AROC,5
AROC,3
AROC,5
AROC,8
AROC,5
AROC,5
AROC,5
AROC,11
AROC,3
AROC,11
AROC,5
AROC,11
AROC,11
AROC,5
AROC,5
AROC,11
AROC,11
AROC,5
AROC,5
AROC,7
AROC,7
AROC,5
AROC,11
AROC,3
AROC,3
AROC,11
AROC,11
AROC,11
AROC,11
AROC,5
AROC,13
AROC,11
AROC,5
AROC,11
AROC,3
AROC,11
AROC,5
AROC,5
AROC,3
AROC,11
AROC,7
AROC,5
AROC,11
AROC,5
AROC,11
AROC,11
AROC,11
AROC,3
AROC,5
AROC,5
AROC,3
AROC,5
AROC,3
AROC,5
AROC,3
AROC,5
AROC,13
AROC,11
AROC,5
AROC,5
AROC,11
AROC,5
AROC,3
AROC,3
AROC,7
AROC,3
AROC,7
AROC,11
AROC,5
AROC,5
AROC,5
AROC,3
AROC,11
AROC,7
AROC,11
AROC,5
AROC,3
AROC,5
AROC,11
AROC,5
AROC,5
AROC,5
AROC,11
AROC,11
AROC,11
AROC,5
AROC,5
AROC,11
AROC,11
AROC,7
AROC,11
AROC,11
AROC,5
AROC,11
AROC,5
AROC,11
AROC,5
AROC,11
AROC,11
AROC,11
AROC,7
AROC,11
AROC,11
AROC,3
AROC,11
AROC,11
AROC,11
AROC,5
AROC,5
AROC,11
AROC,11
AROC,5
AROC,11
AROC,3
AROC,11
AROC,11
AROC,11
AROC,5
AROC,5
AROC,5
AROC,11
AROC,3
AROC,11
AROC,5
AROC,11
AROC,11
AROC,5
AROC,11
AROC,11
AROC,11
AROC,5
AROC,11
AROC,11
AROC,7
AROC,11
AROC,5
AROC,11
AROC,5
AROC,11
AROC,3
AROC,11
AROC,3
AROC,11
AROC,5
AROC,11
AROC,5
AROC,7
AROC,11
AROC,11
AROC,11
AROC,5
AROC,11
AROC,11
AROC,3
AROC,3
AROC,3
AROC,5
AROC,3
AROC,5
AROC,3
AROC,3
AROC,5
AROC,5
AROC,11
AROC,11
AROC,11
AROC,7
AROC,7
AROC,3
AROC,5
AROC,5
AROC,5
AROC,11
AROC,11
AROC,11
AROC,5
AROC,5
AROC,11
AROC,3
AROC,11
AROC,7
AROC,11
SHPC,8
SHPC,4
SHPC,7
SHPC,12
SHPC,4
SHPC,8
SHPC,8
SHPC,12
SHPC,1
SHPC,1
SHPC,12
SHPC,12
SHPC,4
SHPC,1
SHPC,1
SHPC,12
SHPC,7
SHPC,4
SHPC,4
SHPC,7
SHPC,12
SHPC,4
SHPC,4
SHPC,7
SHPC,7
SHPC,12
SHPC,8
SHPC,12
SHPC,12
SHPC,4
SHPC,12
SHPC,12
SHPC,1
SHPC,12
SHPC,4
SHPC,4
SHPC,1
SHPC,1
SHPC,12
SHPC,12
SHPC,1
SHPC,12
SHPC,1
SHPC,12
SHPC,12
SHPC,4
SHPC,12
SHPC,4
SHPC,4
SHPC,1
SHPC,7
SHPC,7
SHPC,1
SHPC,12
SHPC,1
SHPC,8
SHPC,4
SHPC,4
SHPC,4
SHPC,3
SHPC,1
SHPC,1
SHPC,4
SHPC,8
SHPC,4
SHPC,4
SHPC,4
SHPC,3
SHPC,12
SHPC,3
SHPC,4
SHPC,4
SHPC,1
SHPC,12
SHPC,1
SHPC,4
SHPC,8
SHPC,12
SHPC,1
SHPC,8
SHPC,1
SHPC,4
SHPC,8
SHPC,8
SHPC,12
SHPC,4
SHPC,1
SHPC,12
SHPC,12
SHPC,4
SHPC,4
SHPC,12
SHPC,3
SHPC,4
SHPC,4
SHPC,4
SHPC,7
SHPC,12
SHPC,7
SHPC,4
SHPC,8
SHPC,4
SHPC,4
SHPC,4
SHPC,1
SHPC,4
SHPC,4
SHPC,4
SHPC,0
SHPC,12
