label,cluster
SSFR,36
SSFR,54
SSFR,33
SSFR,25
SSFR,13
SSFR,7
SSFR,6
SSFR,54
SSFR,6
SSFR,44
SSFR,54
SSFR,54
SSFR,54
SSFR,14
SSFR,47
SSFR,39
SSFR,10
SSFR,42
SSFR,42
SSFR,54
SSFR,36
SSFR,54
SSFR,7
SSFR,44
SSFR,54
SSFR,41
SSFR,34
SSFR,39
SSFR,54
SSFR,54
SSFR,36
SSFR,25
SSFR,54
SSFR,33
SSFR,49
SSFR,54
SSFR,41
SSFR,54
SSFR,6
SSFR,52
SSFR,55
SSFR,54
SSFR,36
SSFR,44
SSFR,64
SSFR,39
SSFR,44
SSFR,55
SSFR,30
SSFR,54
SSFR,52
SSFR,54
SSFR,36
SSFR,33
SSFR,54
SSFR,32
SSFR,54
SSFR,36
SSFR,54
SSFR,7
SSFR,55
SSFR,5
SSFR,41
SSFR,30
SSFR,7
SSFR,54
SSFR,54
SSFR,54
SSFR,30
SSFR,39
SSFR,33
SSFR,44
SSFR,25
SSFR,6
SSFR,30
SSFR,39
SSFR,7
SSFR,54
SSFR,33
SSFR,30
SSFR,54
SSFR,54
SSFR,41
SSFR,42
SSFR,20
SSFR,30
SSFR,47
SSFR,30
SSFR,54
SSFR,54
SSFR,54
SSFR,54
SSFR,64
SSFR,35
SSFR,42
SSFR,29
SSFR,44
SSFR,54
SSFR,54
SSFR,54
SSFR,54
SSFR,54
SSFR,5
SSFR,36
SSFR,64
SSFR,25
SSFR,34
SSFR,7
SSFR,10
SSFR,34
SSFR,14
SSFR,54
SSFR,32
SSFR,54
SSFR,54
SSFR,54
SSFR,52
SSFR,54
SSFR,54
SSFR,52
SSFR,52
SSFR,39
SSFR,54
SSFR,43
SSFR,54
SSFR,44
SSFR,54
SSFR,7
SSFR,64
SSFR,5
SSFR,52
SSFR,25
SSFR,54
SSFR,41
SSFR,14
SSFR,36
SSFR,5
SSFR,34
SSFR,14
SSFR,54
SSFR,41
SSFR,54
SSFR,5
SSFR,10
SSFR,41
SSFR,42
SSFR,54
SSFR,6
SSFR,34
SSFR,47
SSFR,5
SSFR,32
SSFR,54
SSFR,54
SSFR,54
SSFR,36
SSFR,52
SSFR,30
SSFR,41
SSFR,35
SSFR,52
SSFR,52
SSFR,33
SSFR,25
SSFR,36
SSFR,34
SSFR,54
SSFR,33
SSFR,54
SSFR,54
SSFR,10
SSFR,54
SSFR,5
SSFR,36
SSFR,47
SSFR,54
SSFR,52
SSFR,54
SSFR,54
SSFR,10
SSFR,33
SSFR,54
SSFR,36
SSFR,52
SSFR,55
SSFR,54
SSFR,6
SSFR,54
SSFR,6
SSFR,54
SSFR,54
SSFR,54
SSFR,54
SSFR,33
SSFR,64
SSFR,30
SSFR,54
SSFR,33
SSFR,30
SSFR,7
SSFR,30
SSFR,52
SSFR,54
SSFR,6
SSFR,7
SSFR,54
SSFR,54
SSFR,54
SSFR,55
SSFR,3
SSFR,34
SSFR,36
SSFR,13
SSFR,39
SSFR,54
SSFR,54
SSFR,36
SSFR,44
SSFR,6
SSFR,6
SSFR,54
SSFR,30
SSFR,52
SSFR,7
SSFR,36
SSFR,54
SSFR,34
SSFR,54
SSFR,54
SSFR,54
SSFR,54
SSFR,54
SSFR,36
SSFR,54
SSFR,54
SSFR,7
SSFR,54
DIES,14
DIES,14
DIES,14
DIES,15
DIES,14
DIES,15
DIES,28
DIES,14
DIES,10
DIES,54
DIES,14
DIES,10
DIES,47
DIES,14
DIES,15
DIES,51
DIES,10
DIES,10
DIES,47
DIES,26
DIES,14
DIES,40
DIES,14
DIES,15
DIES,10
DIES,14
DIES,15
DIES,10
DIES,40
DIES,10
DIES,10
DIES,10
DIES,46
DIES,28
DIES,26
DIES,37
DIES,14
DIES,14
DIES,10
DIES,14
DIES,15
DIES,10
DIES,10
DIES,14
DIES,15
DIES,24
DIES,15
DIES,14
DIES,14
DIES,10
DIES,14
DIES,15
DIES,10
DIES,14
DIES,40
DIES,40
DIES,14
DIES,26
DIES,10
DIES,14
DIES,14
DIES,14
DIES,37
DIES,14
DIES,15
DIES,26
DIES,15
DIES,10
DIES,10
DIES,14
DIES,10
DIES,14
DIES,14
DIES,28
DIES,14
DIES,64
DIES,64
DIES,14
DIES,24
DIES,10
DIES,14
DIES,28
DIES,14
DIES,10
DIES,15
DIES,10
DIES,14
DIES,14
DIES,15
DIES,14
DIES,14
DIES,10
DIES,14
DIES,10
DIES,15
DIES,40
DIES,14
DIES,14
DIES,28
DIES,14
DIES,14
DIES,15
DIES,10
DIES,14
DIES,15
DIES,14
DIES,14
DIES,10
DIES,64
DIES,14
DIES,14
DIES,40
DIES,14
DIES,14
DIES,14
DIES,14
DIES,10
DIES,15
DIES,14
DIES,64
DIES,40
DIES,15
DIES,14
DIES,14
DIES,14
DIES,15
DIES,15
DIES,14
DIES,15
DIES,14
DIES,15
DIES,14
DIES,28
DIES,14
DIES,24
DIES,15
DIES,40
DIES,10
DIES,40
DIES,47
DIES,14
DIES,14
DIES,14
DIES,15
DIES,14
DIES,47
DIES,15
DIES,14
DIES,14
DIES,14
DIES,10
DIES,40
DIES,14
DIES,14
DIES,14
DIES,10
DIES,15
DIES,14
DIES,14
DIES,14
DIES,14
DIES,14
DIES,14
DIES,14
DIES,14
DIES,15
DIES,14
DIES,14
DIES,14
DIES,14
DIES,28
DIES,10
DIES,10
DIES,14
DIES,10
DIES,10
DIES,14
DIES,10
DIES,14
DIES,14
DIES,40
DIES,40
DIES,14
DIES,14
DIES,26
DIES,14
DIES,14
DIES,14
DIES,14
DIES,15
DIES,64
DIES,28
DIES,15
DIES,14
DIES,14
DIES,46
DIES,14
DIES,10
DIES,15
DIES,14
DIES,26
DIES,40
DIES,10
DIES,4
DIES,14
DIES,10
DIES,15
DIES,26
DIES,4
DIES,15
DIES,35
DIES,15
DIES,26
DIES,15
DIES,4
DIES,15
DIES,15
DIES,15
DIES,15
DIES,10
DIES,40
DIES,54
DIES,24
DIES,15
DIES,10
DIES,15
DIES,14
DIES,14
DIES,14
DIES,40
DIES,14
DIES,10
DIES,26
DIES,14
DIES,14
DIES,40
NGAD,35
NGAD,55
NGAD,7
NGAD,35
NGAD,41
NGAD,55
NGAD,35
NGAD,3
NGAD,23
NGAD,34
NGAD,44
NGAD,55
NGAD,34
NGAD,44
NGAD,42
NGAD,55
NGAD,55
NGAD,34
NGAD,34
NGAD,55
NGAD,3
NGAD,55
NGAD,34
NGAD,55
NGAD,34
NGAD,55
NGAD,55
NGAD,32
NGAD,55
NGAD,55
NGAD,48
NGAD,34
NGAD,3
NGAD,55
NGAD,55
NGAD,35
NGAD,7
NGAD,35
NGAD,42
NGAD,34
NGAD,39
NGAD,10
NGAD,34
NGAD,39
NGAD,34
NGAD,55
NGAD,42
NGAD,35
NGAD,34
NGAD,39
NGAD,55
NGAD,34
NGAD,20
NGAD,55
NGAD,7
NGAD,55
NGAD,41
NGAD,39
NGAD,34
NGAD,32
NGAD,55
NGAD,35
NGAD,35
NGAD,32
NGAD,55
NGAD,32
NGAD,44
NGAD,55
NGAD,34
NGAD,55
NGAD,55
NGAD,52
NGAD,39
NGAD,34
NGAD,34
NGAD,34
NGAD,34
NGAD,55
NGAD,40
NGAD,55
NGAD,44
NGAD,55
NGAD,55
NGAD,55
NGAD,39
NGAD,32
NGAD,55
NGAD,55
NGAD,41
NGAD,34
NGAD,34
NGAD,55
NGAD,55
NGAD,10
NGAD,55
NGAD,55
NGAD,20
NGAD,39
NGAD,40
NGAD,55
NGAD,42
NGAD,42
NGAD,39
NGAD,39
NGAD,32
NGAD,55
NGAD,55
NGAD,55
NGAD,55
NGAD,10
NGAD,54
NGAD,55
NGAD,34
NGAD,34
NGAD,34
NGAD,55
NGAD,55
NGAD,55
NGAD,55
NGAD,39
NGAD,34
NGAD,55
NGAD,39
NGAD,55
NGAD,34
