label,cluster
MNAT,7
MNAT,4
MNAT,8
MNAT,7
MNAT,13
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,12
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,1
MNAT,7
MNAT,7
MNAT,8
MNAT,13
MNAT,0
MNAT,7
MNAT,4
MNAT,7
MNAT,4
MNAT,7
MNAT,7
MNAT,8
MNAT,13
MNAT,7
MNAT,8
MNAT,12
MNAT,7
MNAT,7
MNAT,13
MNAT,8
MNAT,8
MNAT,4
MNAT,12
MNAT,8
MNAT,7
MNAT,14
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,13
MNAT,7
MNAT,4
MNAT,7
MNAT,7
MNAT,13
MNAT,7
MNAT,7
MNAT,8
MNAT,8
MNAT,7
MNAT,7
MNAT,13
MNAT,8
MNAT,13
MNAT,7
MNAT,7
MNAT,13
MNAT,7
MNAT,13
MNAT,12
MNAT,7
MNAT,12
MNAT,8
MNAT,13
MNAT,13
MNAT,14
MNAT,7
MNAT,7
MNAT,4
MNAT,12
MNAT,7
MNAT,8
MNAT,7
MNAT,8
MNAT,13
MNAT,7
MNAT,7
MNAT,13
MNAT,12
MNAT,7
MNAT,7
MNAT,13
MNAT,13
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,13
MNAT,13
MNAT,7
MNAT,7
MNAT,13
MNAT,7
MNAT,7
MNAT,14
MNAT,7
MNAT,8
MNAT,7
MNAT,7
MNAT,7
MNAT,1
MNAT,14
MNAT,12
MNAT,7
MNAT,8
MNAT,7
MNAT,7
MNAT,12
MNAT,4
MNAT,0
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,1
MNAT,13
MNAT,7
MNAT,4
MNAT,14
MNAT,14
MNAT,7
MNAT,7
MNAT,1
MNAT,7
MNAT,1
MNAT,13
MNAT,13
MNAT,7
MNAT,8
MNAT,7
MNAT,13
MNAT,7
MNAT,7
MNAT,13
MNAT,13
MNAT,7
MNAT,14
MNAT,8
MNAT,7
MNAT,7
MNAT,8
MNAT,1
MNAT,7
MNAT,1
MNAT,7
MNAT,13
MNAT,12
MNAT,12
MNAT,7
MNAT,12
MNAT,7
MNAT,7
MNAT,14
MNAT,7
MNAT,13
MNAT,13
MNAT,13
MNAT,7
MNAT,7
MNAT,1
MNAT,7
MNAT,7
MNAT,8
MNAT,14
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,8
MNAT,4
MNAT,7
MNAT,13
MNAT,7
MNAT,7
MNAT,13
MNAT,8
MNAT,14
MNAT,13
MNAT,7
MNAT,7
MNAT,13
MNAT,13
MNAT,7
MNAT,7
MNAT,13
MNAT,13
MNAT,13
MNAT,7
MNAT,13
MNAT,8
MNAT,7
MNAT,7
MNAT,7
MNAT,13
MNAT,1
MNAT,7
MNAT,4
MNAT,7
MNAT,14
MNAT,13
MNAT,11
MNAT,7
MNAT,8
MNAT,7
MNAT,13
MNAT,7
MNAT,13
MNAT,7
MNAT,7
MNAT,13
MNAT,8
MNAT,3
MNAT,8
MNAT,7
MNAT,13
MNAT,1
MNAT,4
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,13
MNAT,7
MNAT,1
MNAT,7
MNAT,7
MNAT,7
MNAT,12
MNAT,14
MNAT,1
MNAT,4
MNAT,12
MNAT,7
MNAT,7
MNAT,7
MNAT,13
MNAT,4
MNAT,13
MNAT,13
MNAT,1
MNAT,10
MNAT,7
MNAT,7
MNAT,13
MNAT,8
MNAT,4
MNAT,7
MNAT,13
MNAT,8
MNAT,7
MNAT,8
MNAT,7
MNAT,7
MNAT,12
MNAT,13
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,8
MNAT,1
MNAT,7
MNAT,1
MNAT,7
MNAT,7
MNAT,7
MNAT,14
MNAT,7
MNAT,1
MNAT,7
MNAT,8
MNAT,1
MNAT,7
MNAT,1
MNAT,7
MNAT,7
MNAT,7
MNAT,1
MNAT,13
MNAT,7
MNAT,13
MNAT,7
MNAT,13
MNAT,7
MNAT,13
MNAT,7
MNAT,7
MNAT,8
MNAT,13
MNAT,13
MNAT,3
MNAT,13
MNAT,4
MNAT,13
MNAT,8
MNAT,14
MNAT,7
MNAT,14
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,13
MNAT,7
MNAT,7
MNAT,12
MNAT,7
MNAT,13
MNAT,14
MNAT,7
MNAT,7
MNAT,7
MNAT,7
MNAT,1
MNAT,8
MNAT,12
MNAT,12
MNAT,7
MNAT,7
MNAT,13
MNAT,8
MNAT,7
MNAT,7
MNAT,14
MNAT,7
MNAT,7
MNAT,7
