label,cluster
MNAT,14
MNAT,8
MNAT,8
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,13
MNAT,14
MNAT,8
MNAT,14
MNAT,10
MNAT,14
MNAT,14
MNAT,8
MNAT,13
MNAT,14
MNAT,10
MNAT,13
MNAT,14
MNAT,14
MNAT,13
MNAT,8
MNAT,14
MNAT,13
MNAT,11
MNAT,8
MNAT,14
MNAT,6
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,3
MNAT,14
MNAT,14
MNAT,8
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,8
MNAT,13
MNAT,13
MNAT,14
MNAT,3
MNAT,14
MNAT,8
MNAT,11
MNAT,13
MNAT,13
MNAT,8
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,8
MNAT,13
MNAT,14
MNAT,14
MNAT,13
MNAT,13
MNAT,14
MNAT,14
MNAT,3
MNAT,13
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,6
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,13
MNAT,3
MNAT,11
MNAT,14
MNAT,8
MNAT,14
MNAT,6
MNAT,11
MNAT,13
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,8
MNAT,3
MNAT,14
MNAT,10
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,13
MNAT,13
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,3
MNAT,13
MNAT,14
MNAT,3
MNAT,8
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,13
MNAT,14
MNAT,11
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,6
MNAT,14
MNAT,8
MNAT,13
MNAT,13
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,8
MNAT,13
MNAT,14
MNAT,3
MNAT,14
MNAT,14
MNAT,8
MNAT,8
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,13
MNAT,8
MNAT,13
MNAT,3
MNAT,14
MNAT,14
MNAT,6
MNAT,14
MNAT,14
MNAT,13
MNAT,8
MNAT,13
MNAT,14
MNAT,13
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,14
MNAT,6
MNAT,8
MNAT,14
MNAT,8
MNAT,14
MNAT,6
MNAT,13
MNAT,11
MNAT,14
MNAT,13
MNAT,14
MNAT,8
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,6
MNAT,8
MNAT,13
MNAT,8
MNAT,14
MNAT,13
MNAT,13
MNAT,8
MNAT,14
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,11
MNAT,14
MNAT,13
MNAT,8
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,13
MNAT,8
MNAT,13
MNAT,14
MNAT,13
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,8
MNAT,13
MNAT,14
MNAT,14
MNAT,8
MNAT,13
MNAT,8
MNAT,14
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,3
MNAT,13
MNAT,14
MNAT,8
MNAT,13
MNAT,14
MNAT,13
MNAT,12
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,3
MNAT,14
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,13
MNAT,2
MNAT,13
MNAT,10
MNAT,13
MNAT,8
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,11
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,14
MNAT,13
MNAT,8
MNAT,14
MNAT,8
MNAT,14
MNAT,14
MNAT,13
MNAT,13
MNAT,14
MNAT,14
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,3
MNAT,8
MNAT,14
MNAT,13
MNAT,14
MNAT,13
MNAT,14
MNAT,13
MNAT,13
MNAT,14
MNAT,14
MNAT,14
MNAT,8
MNAT,14
MNAT,3
MNAT,8
MNAT,14
MNAT,14
