label,cluster
MNAT,3
MNAT,13
MNAT,6
MNAT,10
MNAT,10
MNAT,3
MNAT,10
MNAT,10
MNAT,3
MNAT,8
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,0
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,6
MNAT,10
MNAT,3
MNAT,10
MNAT,6
MNAT,10
MNAT,13
MNAT,10
MNAT,10
MNAT,6
MNAT,3
MNAT,10
MNAT,13
MNAT,3
MNAT,10
MNAT,10
MNAT,3
MNAT,6
MNAT,6
MNAT,3
MNAT,11
MNAT,6
MNAT,10
MNAT,8
MNAT,0
MNAT,10
MNAT,3
MNAT,0
MNAT,10
MNAT,3
MNAT,6
MNAT,10
MNAT,10
MNAT,0
MNAT,10
MNAT,3
MNAT,6
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,6
MNAT,10
MNAT,3
MNAT,0
MNAT,0
MNAT,10
MNAT,10
MNAT,3
MNAT,3
MNAT,3
MNAT,6
MNAT,3
MNAT,10
MNAT,3
MNAT,10
MNAT,10
MNAT,3
MNAT,11
MNAT,3
MNAT,6
MNAT,3
MNAT,13
MNAT,0
MNAT,10
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,0
MNAT,10
MNAT,10
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,3
MNAT,10
MNAT,3
MNAT,10
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,3
MNAT,10
MNAT,11
MNAT,10
MNAT,6
MNAT,10
MNAT,8
MNAT,11
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,6
MNAT,3
MNAT,10
MNAT,13
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,6
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,0
MNAT,3
MNAT,10
MNAT,0
MNAT,6
MNAT,10
MNAT,10
MNAT,6
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,3
MNAT,3
MNAT,3
MNAT,10
MNAT,10
MNAT,8
MNAT,10
MNAT,10
MNAT,3
MNAT,10
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,6
MNAT,3
MNAT,10
MNAT,0
MNAT,10
MNAT,10
MNAT,6
MNAT,6
MNAT,3
MNAT,3
MNAT,10
MNAT,10
MNAT,0
MNAT,6
MNAT,3
MNAT,0
MNAT,10
MNAT,10
MNAT,8
MNAT,10
MNAT,10
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,3
MNAT,10
MNAT,6
MNAT,3
MNAT,10
MNAT,10
MNAT,8
MNAT,6
MNAT,10
MNAT,6
MNAT,10
MNAT,8
MNAT,9
MNAT,10
MNAT,10
MNAT,3
MNAT,3
MNAT,10
MNAT,3
MNAT,6
MNAT,3
MNAT,10
MNAT,8
MNAT,10
MNAT,3
MNAT,6
MNAT,10
MNAT,10
MNAT,10
MNAT,6
MNAT,3
MNAT,10
MNAT,10
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,3
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,3
MNAT,3
MNAT,6
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,3
MNAT,6
MNAT,3
MNAT,10
MNAT,3
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,6
MNAT,10
MNAT,10
MNAT,10
MNAT,6
MNAT,3
MNAT,6
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,6
MNAT,10
MNAT,10
MNAT,3
MNAT,10
MNAT,10
MNAT,10
MNAT,10
MNAT,0
MNAT,3
MNAT,10
