label,cluster
SSFR,0
SSFR,42
SSFR,17
SSFR,6
SSFR,1
SSFR,33
SSFR,7
SSFR,6
SSFR,7
SSFR,15
SSFR,42
SSFR,42
SSFR,42
SSFR,5
SSFR,11
SSFR,55
SSFR,60
SSFR,58
SSFR,58
SSFR,42
SSFR,0
SSFR,15
SSFR,33
SSFR,60
SSFR,42
SSFR,6
SSFR,14
SSFR,23
SSFR,42
SSFR,42
SSFR,0
SSFR,6
SSFR,42
SSFR,17
SSFR,42
SSFR,15
SSFR,6
SSFR,0
SSFR,7
SSFR,46
SSFR,45
SSFR,42
SSFR,0
SSFR,60
SSFR,42
SSFR,23
SSFR,60
SSFR,45
SSFR,0
SSFR,42
SSFR,50
SSFR,42
SSFR,0
SSFR,17
SSFR,42
SSFR,41
SSFR,42
SSFR,0
SSFR,42
SSFR,33
SSFR,45
SSFR,47
SSFR,6
SSFR,29
SSFR,33
SSFR,42
SSFR,42
SSFR,42
SSFR,5
SSFR,55
SSFR,17
SSFR,15
SSFR,17
SSFR,7
SSFR,6
SSFR,23
SSFR,33
SSFR,42
SSFR,17
SSFR,0
SSFR,42
SSFR,42
SSFR,6
SSFR,58
SSFR,24
SSFR,0
SSFR,11
SSFR,0
SSFR,42
SSFR,42
SSFR,40
SSFR,42
SSFR,42
SSFR,55
SSFR,58
SSFR,56
SSFR,15
SSFR,45
SSFR,42
SSFR,42
SSFR,42
SSFR,42
SSFR,47
SSFR,0
SSFR,42
SSFR,17
SSFR,37
SSFR,33
SSFR,60
SSFR,60
SSFR,5
SSFR,42
SSFR,60
SSFR,60
SSFR,42
SSFR,42
SSFR,46
SSFR,42
SSFR,42
SSFR,46
SSFR,46
SSFR,23
SSFR,42
SSFR,50
SSFR,42
SSFR,15
SSFR,42
SSFR,33
SSFR,42
SSFR,47
SSFR,46
SSFR,17
SSFR,42
SSFR,6
SSFR,5
SSFR,0
SSFR,47
SSFR,60
SSFR,60
SSFR,42
SSFR,36
SSFR,60
SSFR,47
SSFR,60
SSFR,36
SSFR,58
SSFR,42
SSFR,7
SSFR,60
SSFR,11
SSFR,47
SSFR,60
SSFR,42
SSFR,42
SSFR,42
SSFR,0
SSFR,37
SSFR,0
SSFR,6
SSFR,55
SSFR,46
SSFR,46
SSFR,17
SSFR,17
SSFR,0
SSFR,60
SSFR,42
SSFR,17
SSFR,42
SSFR,42
SSFR,60
SSFR,42
SSFR,47
SSFR,0
SSFR,42
SSFR,42
SSFR,46
SSFR,42
SSFR,42
SSFR,9
SSFR,17
SSFR,42
SSFR,0
SSFR,46
SSFR,45
SSFR,15
SSFR,7
SSFR,42
SSFR,7
SSFR,42
SSFR,42
SSFR,42
SSFR,15
SSFR,17
SSFR,42
SSFR,29
SSFR,42
SSFR,17
SSFR,29
SSFR,33
SSFR,42
SSFR,46
SSFR,42
SSFR,7
SSFR,33
SSFR,42
SSFR,42
SSFR,42
SSFR,63
SSFR,40
SSFR,37
SSFR,0
SSFR,1
SSFR,55
SSFR,42
SSFR,42
SSFR,63
SSFR,15
SSFR,7
SSFR,7
SSFR,42
SSFR,9
SSFR,46
SSFR,60
SSFR,0
SSFR,42
SSFR,14
SSFR,60
SSFR,42
SSFR,15
SSFR,42
SSFR,42
SSFR,0
SSFR,42
SSFR,42
SSFR,33
SSFR,15
DIES,5
DIES,5
DIES,5
DIES,49
DIES,55
DIES,57
DIES,12
DIES,5
DIES,9
DIES,42
DIES,5
DIES,63
DIES,42
DIES,5
DIES,49
DIES,9
DIES,9
DIES,9
DIES,49
DIES,18
DIES,5
DIES,2
DIES,5
DIES,57
DIES,60
DIES,7
DIES,49
DIES,9
DIES,57
DIES,9
DIES,9
DIES,9
DIES,53
DIES,12
DIES,18
DIES,21
DIES,5
DIES,5
DIES,9
DIES,5
DIES,49
DIES,9
DIES,9
DIES,5
DIES,57
DIES,9
DIES,57
DIES,5
DIES,5
DIES,9
DIES,5
DIES,57
DIES,9
DIES,5
DIES,57
DIES,2
DIES,5
DIES,18
DIES,9
DIES,5
DIES,5
DIES,5
DIES,26
DIES,5
DIES,49
DIES,18
DIES,57
DIES,60
DIES,9
DIES,7
DIES,9
DIES,5
DIES,5
DIES,12
DIES,5
DIES,42
DIES,49
DIES,5
DIES,9
DIES,9
DIES,5
DIES,12
DIES,5
DIES,14
DIES,49
DIES,9
DIES,5
DIES,60
DIES,57
DIES,5
DIES,7
DIES,9
DIES,5
DIES,9
DIES,57
DIES,21
DIES,5
DIES,5
DIES,12
DIES,5
DIES,7
DIES,49
DIES,63
DIES,60
DIES,49
DIES,5
DIES,5
DIES,9
DIES,42
DIES,5
DIES,5
DIES,2
DIES,5
DIES,5
DIES,5
DIES,7
DIES,9
DIES,49
DIES,5
DIES,42
DIES,21
DIES,57
DIES,5
DIES,5
DIES,5
DIES,49
DIES,49
DIES,5
DIES,57
DIES,5
DIES,57
DIES,5
DIES,9
DIES,5
DIES,9
DIES,57
DIES,57
DIES,9
DIES,57
DIES,26
DIES,5
DIES,5
DIES,5
DIES,57
DIES,5
DIES,11
DIES,57
DIES,5
DIES,5
DIES,5
DIES,60
DIES,2
DIES,9
DIES,5
DIES,9
DIES,60
DIES,57
DIES,5
DIES,5
DIES,7
DIES,5
DIES,5
DIES,60
DIES,5
DIES,5
DIES,49
DIES,5
DIES,5
DIES,7
DIES,5
DIES,12
DIES,9
DIES,9
DIES,7
DIES,9
DIES,60
DIES,5
DIES,60
DIES,5
DIES,5
DIES,57
DIES,2
DIES,5
DIES,7
DIES,18
DIES,5
DIES,5
DIES,5
DIES,5
DIES,57
DIES,53
DIES,12
DIES,57
DIES,5
DIES,7
DIES,9
DIES,5
DIES,9
DIES,57
DIES,5
DIES,18
DIES,2
DIES,45
DIES,44
DIES,5
DIES,9
DIES,57
DIES,18
DIES,44
DIES,49
DIES,37
DIES,49
DIES,18
